plec,Styl 
Kobieta,Kinestetyczny
Mężczyzna,Wizualny
Mężczyzna,Kinestetyczny
Kobieta,Kinestetyczny
Kobieta,Słuchowy
Mężczyzna,Słuchowy
Mężczyzna,Wizualny
Kobieta,Kinestetyczny
Kobieta,Kinestetyczny
Kobieta,Kinestetyczny
Mężczyzna,Wizualny
Mężczyzna,Wizualny
Mężczyzna,Słuchowy
Mężczyzna,Wizualny
Mężczyzna,Kinestetyczny
Mężczyzna,Kinestetyczny
Kobieta,Wizualny
Mężczyzna,Kinestetyczny
Mężczyzna,Kinestetyczny
Mężczyzna,Wizualny
Kobieta,Wizualny
Mężczyzna,Kinestetyczny
Mężczyzna,Kinestetyczny
Kobieta,Kinestetyczny
Mężczyzna,Słuchowy
