Personality,Weekly_Hours
A,54.5
A,30.0
A,34.5
A,42.0
A,49.5
A,68.5
A,50.5
A,50.0
A,42.0
A,60.5
A,36.0
A,44.5
A,64.5
A,49.0
A,62.0
A,37.5
A,45.0
A,53.5
A,71.0
A,64.5
A,43.0
A,32.5
A,70.5
A,42.0
A,50.5
A,45.5
A,44.5
A,51.0
A,47.0
A,48.0
A,56.5
A,53.0
A,82.0
A,42.0
A,54.5
A,64.5
A,50.5
A,61.5
A,46.0
A,50.0
A,40.0
A,73.0
A,74.0
A,49.5
A,49.5
A,48.0
A,45.5
A,57.5
A,42.0
A,43.5
B,56.0
B,39.5
B,54.5
B,50.5
B,37.0
B,53.5
B,35.5
B,48.0
B,52.5
B,43.5
B,48.0
B,59.0
B,50.5
B,49.0
B,36.0
B,40.5
B,42.5
B,47.5
B,47.5
B,37.0
B,48.5
B,50.0
B,57.0
B,36.0
B,45.5
B,52.5
B,49.5
B,46.5
B,55.0
B,55.5
B,47.0
B,58.5
B,39.5
B,43.5
B,49.0
B,57.0
B,41.0
B,31.0
B,37.0
B,49.0
B,46.5
B,57.5
B,37.5
B,51.0
B,41.0
B,56.0
B,38.5
B,45.0
B,39.5
B,44.5
