Personality,Weekly_Hours
A,45.5
A,51.5
A,45.5
A,57.0
A,49.0
A,46.0
A,60.5
A,57.5
A,49.5
A,46.5
A,63.0
A,50.5
A,54.5
A,36.0
A,56.5
A,57.0
A,44.0
A,46.0
A,45.0
A,43.5
A,50.5
A,36.5
A,57.5
A,38.0
A,63.0
A,62.5
A,59.0
A,63.0
A,46.0
A,45.0
A,48.0
A,67.5
A,68.5
A,49.5
A,60.5
A,62.0
A,59.5
A,61.5
A,53.5
A,59.5
A,56.0
A,52.5
A,51.0
A,53.0
A,57.5
A,53.0
A,56.0
A,60.5
A,47.0
A,46.0
B,46.0
B,48.0
B,48.5
B,48.5
B,48.0
B,31.5
B,47.0
B,46.5
B,40.0
B,39.5
B,54.5
B,42.0
B,40.0
B,45.0
B,58.0
B,34.5
B,41.5
B,36.5
B,42.0
B,46.5
B,38.0
B,41.5
B,44.5
B,40.5
B,37.0
B,48.0
B,39.5
B,40.5
B,47.0
B,48.5
B,55.0
B,43.5
B,47.0
B,42.0
B,44.5
B,55.0
B,24.5
B,49.5
B,52.5
B,47.5
B,51.5
B,42.5
B,41.5
B,39.0
B,44.0
B,64.5
B,40.5
B,43.0
B,39.5
B,50.0
