Personality,Weekly_Hours
A,49.5
A,46.0
A,56.5
A,52.0
A,35.5
A,57.0
A,40.0
A,59.5
A,50.0
A,38.5
A,48.5
A,49.0
A,44.5
A,46.5
A,58.5
A,53.5
A,60.5
A,39.5
A,43.0
A,69.0
A,44.5
A,45.5
A,42.5
A,55.0
A,32.0
A,40.0
A,43.5
A,51.0
A,33.5
A,55.0
A,49.0
A,51.0
A,52.5
A,35.5
A,18.5
A,54.5
A,48.5
A,41.0
A,48.5
A,65.0
A,38.0
A,57.0
A,36.5
A,43.0
A,35.5
A,52.0
A,39.5
A,48.0
A,50.0
A,42.0
B,42.5
B,47.0
B,54.5
B,53.5
B,41.5
B,46.0
B,45.5
B,39.5
B,47.5
B,41.0
B,53.5
B,41.0
B,54.5
B,32.5
B,49.0
B,56.5
B,37.5
B,61.0
B,48.0
B,37.5
B,45.5
B,50.5
B,43.5
B,49.0
B,48.5
B,38.0
B,47.5
B,61.5
B,53.0
B,62.0
B,45.5
B,49.0
B,50.5
B,38.5
B,50.0
B,39.5
B,53.0
B,41.0
B,64.0
B,42.5
B,50.5
B,52.5
B,34.0
B,52.0
B,44.0
B,56.5
B,30.0
B,53.5
B,34.5
B,33.0
