Personality,Weekly_Hours
A,47.5
A,46.5
A,53.0
A,41.5
A,33.5
A,45.5
A,54.0
A,44.5
A,72.5
A,58.5
A,41.5
A,43.0
A,59.5
A,26.5
A,39.5
A,57.5
A,54.0
A,56.5
A,45.0
A,25.0
A,60.5
A,25.5
A,48.0
A,45.5
A,58.5
A,39.0
A,51.5
A,50.5
A,58.0
A,38.5
A,35.5
A,43.5
A,49.0
A,50.0
A,47.0
A,51.0
A,46.0
A,50.5
A,29.5
A,48.5
A,49.5
A,47.0
A,59.0
A,44.5
A,63.0
A,46.5
A,46.0
A,39.0
A,74.0
A,45.0
B,52.5
B,55.0
B,49.5
B,58.5
B,56.0
B,41.5
B,32.5
B,40.5
B,50.0
B,61.5
B,52.5
B,49.5
B,41.5
B,52.0
B,48.0
B,51.0
B,57.0
B,41.0
B,45.0
B,42.5
B,59.5
B,26.5
B,49.5
B,48.0
B,45.5
B,46.0
B,54.0
B,54.5
B,36.5
B,46.5
B,50.5
B,54.5
B,48.5
B,54.0
B,63.5
B,47.0
B,54.0
B,42.5
B,50.5
B,45.0
B,44.0
B,38.0
B,35.5
B,59.0
B,47.0
B,53.5
B,49.5
B,51.0
B,56.5
B,45.5
