Personality,Weekly_Hours
A,58.5
A,53.0
A,53.0
A,50.5
A,58.5
A,48.5
A,38.0
A,40.5
A,58.5
A,48.5
A,52.5
A,44.0
A,55.5
A,39.5
A,49.0
A,38.0
A,48.0
A,38.0
A,41.0
A,67.0
A,38.5
A,29.0
A,43.5
A,46.0
A,56.0
A,69.5
A,70.5
A,59.0
A,41.5
A,33.0
A,57.0
A,63.0
A,67.5
A,53.0
A,42.5
A,45.0
A,53.5
A,46.0
A,58.5
A,57.5
A,77.5
A,44.5
A,54.5
A,57.5
A,47.5
A,59.5
A,48.0
A,73.5
A,50.0
A,68.0
B,48.0
B,38.5
B,58.0
B,52.0
B,35.5
B,50.5
B,45.5
B,44.5
B,36.5
B,41.5
B,65.5
B,45.5
B,39.5
B,34.5
B,59.5
B,51.5
B,48.0
B,47.5
B,52.5
B,42.0
B,46.0
B,48.0
B,44.0
B,39.0
B,49.0
B,43.0
B,44.0
B,56.5
B,43.5
B,42.5
B,54.0
B,49.5
B,46.0
B,52.0
B,39.5
B,51.5
B,45.0
B,57.5
B,53.0
B,56.5
B,47.0
B,49.0
B,42.5
B,45.0
B,47.0
B,46.5
B,38.5
B,60.5
B,58.0
B,38.0
