Personality,Weekly_Hours
A,58.0
A,51.0
A,52.5
A,45.5
A,36.0
A,61.0
A,47.0
A,59.0
A,52.0
A,23.0
A,42.0
A,42.0
A,63.0
A,56.5
A,49.0
A,44.5
A,63.5
A,53.0
A,37.0
A,34.0
A,49.0
A,55.5
A,47.0
A,60.5
A,67.0
A,60.0
A,66.5
A,44.0
A,52.5
A,44.0
A,50.0
A,52.5
A,38.5
A,63.0
A,39.0
A,56.0
A,56.5
A,56.0
A,48.0
A,37.0
A,45.5
A,54.5
A,47.5
A,43.5
A,34.0
A,48.0
A,36.0
A,60.0
A,43.0
A,54.0
B,48.5
B,48.5
B,45.0
B,47.0
B,64.0
B,53.5
B,48.5
B,68.5
B,56.5
B,58.5
B,50.5
B,54.0
B,54.0
B,42.0
B,37.0
B,39.5
B,40.0
B,54.0
B,54.5
B,50.0
B,48.0
B,57.0
B,45.0
B,32.5
B,38.0
B,47.5
B,56.0
B,61.0
B,41.0
B,56.0
B,52.0
B,46.0
B,44.5
B,54.5
B,44.0
B,38.5
B,44.0
B,60.0
B,51.0
B,50.0
B,55.5
B,50.5
B,37.5
B,45.5
B,48.0
B,36.5
B,69.5
B,55.0
B,46.5
B,49.0
