Personality,Weekly_Hours
A,58.5
A,55.0
A,43.0
A,47.0
A,33.0
A,46.5
A,51.0
A,56.5
A,45.0
A,50.0
A,59.0
A,43.0
A,67.5
A,46.0
A,62.5
A,55.0
A,48.0
A,38.0
A,43.5
A,36.5
A,43.0
A,41.5
A,48.5
A,43.5
A,28.0
A,58.0
A,41.0
A,56.0
A,46.5
A,52.5
A,38.0
A,43.0
A,39.0
A,28.0
A,46.0
A,51.0
A,53.5
A,52.5
A,67.0
A,43.0
A,49.5
A,32.0
A,48.5
A,42.0
A,42.5
A,41.0
A,53.5
A,48.0
A,55.5
A,45.0
B,40.5
B,35.0
B,48.0
B,59.0
B,59.5
B,42.5
B,50.5
B,40.5
B,39.5
B,66.0
B,37.0
B,55.5
B,54.5
B,52.0
B,42.0
B,33.5
B,42.5
B,50.0
B,63.0
B,37.5
B,39.0
B,51.5
B,33.0
B,49.5
B,52.0
B,66.0
B,58.5
B,46.0
B,47.5
B,43.0
B,42.5
B,46.0
B,57.0
B,48.0
B,40.5
B,59.0
B,45.0
B,46.5
B,46.5
B,43.5
B,48.5
B,55.5
B,59.5
B,30.5
B,54.5
B,51.5
B,58.5
B,60.0
B,32.0
B,70.5
