Zadowolenie,Liczba_osob,Ekstrawersja,Alkohol,Rodzaj_imprezy
5.450389445,14,7.921052201,1,0
3.994647082,12,2.705890676,5,1
6.105036623,9,5.771377453,3,1
4.591988005,9,3.699078182,6,0
5.239223426,28,5.281094684,6,0
5.816060984,9,4.939167704,5,1
5.918569333,27,3.787362431,7,1
6.2302018,13,1.826936984,4,1
4.889714152,13,3.367895231,0,1
4.890225452,4,10,4,1
3.979034978,14,4.066058716,3,0
5.645989102,19,4.181460372,7,1
4.042226117,25,4.330230127,4,0
6.692933389,12,5.645725159,3,1
5.937012659,12,6.518307287,5,1
6.415064516,22,5.96606653,5,1
5.352496461,16,6.208222772,7,1
3.452501144,8,2.762772295,5,0
5.089155166,15,5.503548848,7,0
6.806554942,15,4.911743366,7,0
5.397239636,24,7.677194711,0,0
3.450029253,14,1,5,0
4.099265901,3,2.414435764,5,0
4.358709298,16,4.674310229,2,0
4.762803323,20,4.342646963,0,0
5.695655714,15,4.098812886,6,1
5.490416172,20,6.403551401,4,0
3.950133557,10,1,4,0
7.128142483,12,8.243171817,5,1
5.889405081,7,3.986699751,2,1
6.085741656,17,5.980522826,4,0
5.438745473,19,5.959619641,2,1
4.856514682,5,5.040778881,2,0
6.022426184,23,5.303785638,4,0
5.375844146,5,10,0,1
6.612672253,18,4.228137505,3,0
6.977959676,22,7.640676079,10,1
5.888093141,26,7.396087132,3,0
5.691664519,31,4.468314842,5,0
5.67368661,20,5.609058893,6,0
7.585380488,13,8.258311372,6,1
6.088255194,28,8.965394153,4,1
4.105140766,10,5.911001551,2,0
4.374338799,8,2.279644773,4,0
6.664716043,12,6.0602514,2,0
6.347644804,16,6.265198468,2,0
6.829881297,24,6.623209723,6,1
7.097315691,56,6.648018032,7,0
4.94186897,27,6.591109879,2,1
6.125541369,15,6.057715244,10,1
5.746222732,8,6.962626347,5,0
7.090061466,8,7.684056336,6,0
6.455336584,15,4.75947196,4,0
7.52796229,54,5.082618105,8,0
5.211530218,14,5.843681574,6,0
5.935585477,9,5.755749892,4,1
5.705203865,8,3.916414389,6,1
5.484593504,24,2.276931597,3,1
5.953996348,20,4.063862172,5,0
6.018063703,17,5.317741776,2,0
4.486489731,16,4.406800698,6,1
6.752269295,25,7.272317207,4,0
6.65393694,11,7.38731049,1,0
6.703056141,11,4.808458983,4,0
6.061944841,34,6.292288719,7,1
4.832235594,15,1.727671763,6,1
6.641277056,9,5.2761185,1,1
6.446035658,18,7.943316167,4,1
5.360765087,14,3.567925961,4,1
6.475140062,9,8.265037981,3,1
5.168811829,15,7.049669883,0,1
3.671539542,18,1.500794375,4,1
6.302371228,48,3.788369365,5,1
5.815960521,24,5.518094396,8,0
5.289889393,16,3.580516747,4,0
5.524922114,23,6.091590564,5,0
6.982612257,12,2.041090855,4,1
6.025277179,13,6.625589077,0,1
4.996367494,11,6.577951858,6,1
4.541747473,14,2.696857646,5,0
6.206473699,20,7.811421697,2,0
7.090670456,31,4.273207952,4,0
6.237061858,7,4.436829434,2,1
5.354061429,23,5.326767987,4,0
5.970242905,10,8.393829175,5,0
5.467165813,7,4.383044721,4,0
6.293476965,27,5.514651496,5,1
5.460965261,14,4.521633791,4,1
6.104033986,16,3.794662496,3,1
5.644925004,14,5.723699655,5,1
6.424063243,6,1,5,1
6.57503032,15,7.29805447,10,0
6.512252233,12,5.494154547,3,0
6.742524127,10,6.543345497,5,0
3.050204739,25,2.420121183,3,0
6.058227758,13,6.33804099,5,0
7.581185323,30,7.649772225,6,0
3.052052094,47,1,10,0
3.689014532,18,3.021902233,6,1
4.541835909,9,7.00896443,6,0
6.779877835,7,4.478321679,6,0
6.094900512,5,5.574740122,0,1
5.444790167,29,5.336064138,4,1
7.887138382,11,2.82695156,4,1
6.991468427,10,5.766808079,4,0
4.869053184,25,3.151060883,0,0
6.249528565,11,4.295828044,5,1
7.357732208,13,4.833402699,7,0
3.046441899,9,1.222296789,5,0
5.108465808,9,6.23515351,6,1
4.786765707,13,6.516965376,6,0
4.50679688,10,3.611891521,7,0
6.020356848,11,5.428808158,3,0
6.877875082,11,4.770984413,8,0
5.06837022,7,3.5210402,3,0
5.323592668,11,6.977979961,6,1
4.532559772,22,5.849755367,4,0
4.83981386,10,5.37975888,4,0
4.86755303,7,4.721553201,0,0
3.968648982,7,3.479082456,4,0
5.871434789,16,3.103426647,7,0
9.109134339,43,10,4,0
